Price,Open,High,Low,Vol.,Change %
1026.2,1020.9,1030.35,1017.5,65.20M,0.59%
1020.15,1009.5,1026,1009.5,82.80M,1.13%
1008.75,1001.8,1012.75,1001.8,70.83M,0.71%
1001.6,996.85,1007.2,992.3,79.54M,0.48%
996.85,990.35,1000.3,989.05,65.78M,0.66%
990.35,972.3,992.05,972.3,71.31M,1.90%
971.9,964.15,974.1,963.5,62.90M,0.96%
962.65,960.35,965.75,956.9,50.76M,0.29%
959.85,953.9,960.85,948.05,44.78M,0.61%
954.05,957.55,958.55,952.1,43.59M,-0.30%
956.95,960.5,960.95,954.35,47.45M,-0.39%
960.7,962.35,970.2,957.95,61.35M,-0.17%
962.3,962.85,963.7,957.2,46.55M,0.02%
962.1,951.6,965.5,951.6,20.40M,1.12%
951.45,951.45,956.95,946.4,81.89M,0.01%
951.4,937.35,953.3,937.05,101.28M,1.46%
937.75,936.15,944.35,935.9,59.33M,0.09%
936.9,922.55,939.7,921.65,63.15M,1.54%
922.7,932.35,934.9,920.1,41.86M,-1.02%
932.2,946.8,946.8,929.25,50.21M,-1.55%
946.9,957.7,959.8,945,38.78M,-1.09%
957.35,962.9,963.75,955.45,50.46M,-0.54%
962.5,967.5,976.35,961.65,35.38M,-0.50%
967.35,971.75,976.2,965.65,32.91M,-0.44%
971.65,973.8,982.5,968.8,52.62M,-0.17%
973.3,973.7,976.05,966.55,56.77M,-0.03%
973.6,972.9,983.6,971.7,49.81M,0.12%
972.45,971.5,976.5,969,40.66M,0.14%
971.05,958.45,973.5,958.45,50.97M,1.31%
958.45,954.8,960.45,945,47.80M,0.39%
954.75,960.85,968.75,952.95,46.57M,-0.63%
960.8,954.8,963.15,952.5,54.86M,0.63%
954.75,947.8,956.35,946.25,40.19M,0.69%
948.2,948.1,951.8,944.5,44.51M,0.00%
948.2,955.35,957.9,945.8,41.04M,-0.73%
955.2,961.15,964.2,950.3,43.09M,-0.83%
963.15,976.15,976.15,961.55,38.96M,-1.36%
976.45,969.95,978,969.25,48.53M,0.68%
969.9,970.1,976.25,968.25,29.51M,-0.02%
970.05,964.65,971.85,960.5,44.11M,0.40%
966.2,969.95,969.95,960.2,40.93M,-0.42%
970.3,969.85,974.75,967.35,39.80M,0.07%
969.6,975.6,975.6,960.7,46.97M,-0.66%
976.05,983.45,985.25,970.8,40.46M,-0.77%
983.6,994.15,994.15,981.6,35.93M,-1.14%
994.9,985.75,996.8,985.75,35.81M,0.93%
985.75,991.75,997,983.55,30.55M,-0.63%
992,1001.4,1001.4,989.85,31.25M,-0.96%
1001.65,998.95,1005.15,998.8,43.06M,0.28%
998.85,998.6,1002.35,993.35,44.18M,0.03%
998.55,992.05,1005.85,985.25,51.87M,0.34%
995.2,1008.45,1008.45,992.7,45.01M,-1.33%
