Close,Open,High,Low
3726.46,3685.31,3737.76,3661.69
3739.76,3745.99,3775.65,3730.07
3764.44,3731.85,3771.35,3694.94
3780.42,3761.76,3799.89,3759.98
3792.61,3796.53,3835.75,3785.12
3815.31,3800.73,3831.96,3779.73
3832.5,3798.81,3840.72,3785.85
3765.82,3845.93,3878.72,3761.84
3741.66,3754.65,3798.87,3722.08
3806.83,3749.18,3816.16,3733.63
3883.76,3824.26,3890.78,3823.39
3893.41,3842.14,3915.9,3842.14
3889.41,3907.03,3938.91,3879.35
3926.07,3910.86,3935.8,3874.34
3921.2,3932.59,3959.1,3908.7
3977.73,3932.37,3985.46,3928.17
4006.91,3985.77,4026.27,3981.92
4056.6,4027.6,4066.03,4027.6
4095.39,4075.17,4106.71,4073.06
4125.12,4146.56,4149.54,4084.19
4004.63,4149.82,4170.58,3943.66
4152.29,4021.91,4160.02,4021.91
4205.56,4173.36,4222.39,4173.36
4212.29,4256.07,4256.07,4179.33
4244.73,4235.26,4277.64,4228.85
4324.76,4248.07,4329.57,4248.07
4339.2,4341.73,4358.3,4291.96
4257.94,4361.87,4367.87,4248.86
4310.51,4276.4,4328.37,4257.41
4369.17,4314.68,4371.98,4314.68
4434.25,4399.61,4444.62,4399.61
4425.2,4458.64,4473.57,4398.09
4434.26,4410.12,4438.23,4378.65
4393.13,4423.71,4463.38,4381.09
4305.91,4407.72,4437,4297.71
4193.83,4310.17,4310.17,4184.11
4274.75,4195.1,4290.07,4134.69
4235.35,4299.37,4330.85,4222.6
4134.15,4243.01,4251.54,4126.22
4217.12,4159.72,4224.73,4097.55
4151.72,4230.91,4237.42,4141.8
4231.69,4138.01,4240.02,4111.54
4356.39,4249.93,4366.83,4229.87
4297.15,4347.23,4360.72,4285.01
4382.57,4299.66,4388.83,4299.66
4402.05,4392.87,4426.3,4385.54
4453.24,4428.16,4456.41,4413.72
4455.08,4452.07,4487.05,4432.93
4552.92,4465.44,4556.89,4465.44
4631.39,4567.68,4637.27,4552.39
4632.94,4644.86,4688.33,4601.16
4634.86,4646.63,4667.49,4586.96
4698.68,4643.32,4710.28,4643.32
4768.9,4735.09,4780.77,4730.31
4849.27,4787.75,4859.93,4786.69
4782.03,4866.12,4900.92,4765.35
4855.26,4790.54,4867.91,4738.72
4887.32,4887.04,4921.65,4865.26
4930.53,4912.27,4949.23,4901.59
4851.67,4951.11,4951.11,4838.7
4755.72,4868,4880.66,4727.43
4741.2,4772.84,4801.7,4705.41
4648.41,4744.48,4755.94,4634.9
4757.37,4654.27,4772.07,4599.61
4802.28,4798.33,4828.27,4793.48
4698.28,4802.07,4814.32,4689.09
4707.8,4710.22,4748.19,4666.19
4744.1,4732.79,4747.59,4684.42
4780.52,4751.83,4805.72,4735.77
4906.87,4787.05,4913.18,4779.09
5063.03,4946.93,5068.66,4946.93
5097.84,5096.16,5135,5055.57
5064.91,5116.86,5127.79,5021.97
5047.54,5080.05,5118.08,5030.04
4971.57,5071.2,5092.7,4965.5
4998.57,4962.22,5017.9,4909.66
5030.64,4998.79,5039.2,4988.88
5005.77,5040.55,5059.98,4998.26
4949.16,5027.99,5053.49,4941.49
4865.83,4948.77,4961.37,4854.16
4911.76,4873.91,4925.31,4851.34
4940.23,4907.02,4959.96,4882.97
4891.13,4955.32,4981.48,4875.46
4823.73,4868.43,4868.43,4800.67
4771.23,4840.8,4878.81,4763.53
4838.54,4770.75,4851.67,4736.7
4822.15,4852.12,4858.43,4803.8
4894.59,4845.1,4900.21,4843.46
4989.04,4907.38,5000.41,4907.38
5044.82,4995.15,5050.56,4991.24
5160.85,5086.86,5166.56,5082.82
5186.08,5187.73,5204.57,5123.8
5221.9,5198.74,5246.74,5178.22
5225.9,5229.18,5252.21,5174.86
