Price,Open,High,Low
8277.55,8307.25,8326.45,8236.65
8299.4,8346.15,8356.65,8267.9
8323,8291.35,8332.6,8245.6
8284.5,8285.45,8303.3,8190.8
8234.6,8191.4,8243.5,8167.3
8102.1,8118.65,8151.2,8065.45
8127.35,8325.3,8327.85,8111.35
8378.4,8407.95,8445.6,8363.9
8395.45,8288.7,8410.6,8288.7
8284,8272.8,8294.7,8248.75
8282.7,8243.9,8291,8243.75
8248.25,8260.3,8268.25,8220.55
8246.3,8214.7,8279.15,8214.7
8200.7,8204.8,8234.55,8147.95
8174.1,8272.05,8286.4,8155.25
8267,8324.6,8364.75,8252.85
8324,8255,8330.95,8228.2
8225.2,8230.45,8263.45,8208.6
8159.3,8138.9,8174.3,8084.9
8029.8,8041.2,8082,7961.35
8067.6,8172.6,8189.35,8052.6
8219.6,8160.75,8242.4,8152.5
8224.1,8302,8321.9,8216.3
8292.9,8338.85,8348.3,8272.4
8355.65,8318.05,8376.8,8317
8340.7,8439.3,8444.5,8330.5
8438.25,8538.65,8546.35,8432.25
8538.3,8584.25,8588.35,8523.9
8564.4,8582.4,8626.95,8526.4
8537.65,8528.7,8546.95,8508.35
8524.7,8535.45,8560.2,8504.65
8555.9,8605.1,8623,8545.15
8588.25,8516.8,8617,8516.25
8494.2,8477.8,8506.75,8456.35
8475.75,8450.3,8500.3,8438.65
8463.1,8530.8,8535.35,8429.45
8530.15,8490.95,8534.65,8490.8
8477.35,8408.2,8489.8,8398.6
8401.9,8406.5,8410.85,8353.15
8382.3,8440.65,8455.65,8360.5
8425.9,8441.25,8454.5,8407.25
8430.75,8378.4,8438.1,8349.1
8389.9,8360.7,8400.65,8346.8
8357.85,8405.25,8408,8320.35
8383.3,8378.9,8415.05,8370.5
8362.65,8354.1,8378.7,8321.85
8344.25,8337.8,8383.05,8304.45
8337,8331.85,8360.35,8290.25
8338.3,8351.25,8365.55,8323.5
8324.15,8348.15,8350.6,8297.65
8322.2,8200.8,8330.75,8198.05
8169.2,8085.2,8181.55,8085.2
8090.45,8077.05,8097.95,8052.25
8027.6,8002.4,8037.8,7995.05
7991.7,8064.35,8064.4,7985.65
8014.55,8027.7,8031.75,8008.85
7995.9,7997.8,8005,7974.55
7927.75,7906.15,7936.6,7874.35
7879.4,7896.95,7905.95,7856.95
7779.7,7733.75,7819.2,7723.85
7748.2,7837.3,7893.9,7729.65
7864,7923.25,7928,7825.45
7884.25,7831,7901.15,7796
7859.95,7911,7924.05,7848.45
7960.55,7886.5,7972.35,7886.5
7842.7,7828.75,7869.9,7815.75
7852.4,7897.4,7943.05,7842.7
7945.55,7960.5,7977.5,7936.7
7964.8,7948.8,8030.9,7923.85
7958.9,7978.45,7991.75,7934.7
7968.85,7885.85,7993.3,7841.8
7911.85,8003.3,8019.3,7877.35
8002.4,8015.55,8042.05,7950.05
8017.55,8144.4,8159.75,8008.1
8146.3,8084.45,8159.9,8064.8
8121.45,8129.4,8160.9,8105.35
8114.75,7950.65,8120.85,7939.7
7975.5,7971.5,7990.65,7936.95
7932.9,8036.6,8044.9,7925.15
8042,8070.35,8077.3,8030
8105.5,8087.05,8114.3,8071.6
8085.7,8115.15,8127.95,8057.3
8094.1,8135.55,8135.75,8082.1
8152.95,8161.9,8174.55,8126.5
8173.9,8132.95,8180.2,8126.15
8086.85,8099.9,8122.7,8049.85
8095.95,8114.2,8114.8,8060.9
8114.6,8110.85,8141.9,8092.25
8083.05,8038.6,8101.95,8036.55
8027.7,7990.35,8035,7984
7954.35,7942.25,7967.8,7939.2
7936.05,7933.9,7946.85,7916.55
7904.75,7874.5,7915.45,7862.45
7906.3,7931.75,7968.25,7897.95
7913.2,7904.55,7929.05,7900.05
7891.1,7875.35,7919.65,7855.95
7875.3,7915.8,7922.7,7864.05
7897.5,7901,7918.55,7881.15
7874.25,7785.25,7880.5,7779.2
7791.7,7756.15,7796.7,7739.1
7739.55,7717.3,7757.1,7695.7
7727.05,7688.8,7735.75,7654.8
7625.95,7619.85,7635.55,7598.6
7568.55,7588.7,7592.45,7540.1
7649.25,7651.15,7708.95,7630.4
7672.05,7726.15,7740.95,7658.95
7746.55,7706.65,7752.45,7638.05
7683.65,7639.55,7694.8,7622.05
7602.6,7662.5,7716.7,7593.9
7721.3,7784.65,7791.85,7711.15
